Job Number,City,Title,Company,Location,Skills,Posted,Link
1,new delhi,Sr. Computer Scientist-I,Adobe Systems Ltd,Noida/Greater Noida,"microservices architecture
   				

   					advanced algorithm design
   				

   					cloud based web services
   				

   					systems integration
   				

   					java / python programming
   				

   					information technology
   				

   					html
   				

   					mysql
   				

   					web technologies
   				

   					fundamentals
   				

   					algorithms
   				

   					docker
   				

   					mongodb
   				

   					rest
   				

   					junit
   				

   					mobile
   				

   					business environment
   				

   					written communication",Posted today,https://www.timesjobs.com/job-detail/sr-computer-scientist-i-adobe-systems-ltd-noida-greater-noida-10-to-13-yrs-jobid-Cei6vF__SLASH__D2gBzpSvf__PLUS__uAgZw==&source=srp
2,new delhi,Senior Operation Managers,Bank of America,"Mumbai,  Hyderabad/Secunderabad,  Gurgaon","fraud risk management
   				

   					data analytics
   				

   					statistical modeling
   				

   					team leadership
   				

   					client communication
   				

   					visualization
   				

   					sql
   				

   					data extraction
   				

   					sas
   				

   					tableau
   				

   					analyst
   				

   					digital banking",Posted today,https://www.timesjobs.com/job-detail/senior-operation-managers-bank-of-america-mumbai-hyderabad-secunderabad-gurgaon-12-to-15-yrs-jobid-t28GIkwHiBZzpSvf__PLUS__uAgZw==&source=srp
3,new delhi,Engineering Manager,Adobe Systems Ltd,Noida/Greater Noida,"leadership skills
   				

   					software architecture
   				

   					cloud platforms
   				

   					full stack development
   				

   					problem solving
   				

   					java
   				

   					devops
   				

   					html
   				

   					mysql
   				

   					api
   				

   					c#
   				

   					python
   				

   					nosql
   				

   					docker
   				

   					database
   				

   					git
   				

   					postgresql
   				

   					mongodb
   				

   					software delivery
   				

   					extjs
   				

   					infrastructure
   				

   					php",Posted today,https://www.timesjobs.com/job-detail/engineering-manager-adobe-systems-ltd-noida-greater-noida-9-to-12-yrs-jobid-__SLASH__1e3T3a__SLASH__3lRzpSvf__PLUS__uAgZw==&source=srp
4,new delhi,Software Development Engineer II,Expedia Group,Gurgaon,"scalable system development
   				

   					cloud infrastructure integration
   				

   					java and react proficiency
   				

   					continuous integration methodologies
   				

   					systems design and documentation
   				

   					storage
   				

   					security
   				

   					problem solving
   				

   					messaging
   				

   					spring boot
   				

   					written communication",Posted today,https://www.timesjobs.com/job-detail/software-development-engineer-ii-expedia-group-gurgaon-3-to-5-yrs-jobid-p2m__SLASH__J5k06TRzpSvf__PLUS__uAgZw==&source=srp
5,new delhi,Senior Sales Support Specialist,Harvard Business Publishing,Gurgaon,"research analysis
   				

   					data visualization
   				

   					reporting skills
   				

   					communication skills
   				

   					team management
   				

   					sql
   				

   					press
   				

   					team player
   				

   					data reports",Posted today,https://www.timesjobs.com/job-detail/senior-sales-support-specialist-harvard-business-publishing-gurgaon-5-to-6-yrs-jobid-xKbz6e__PLUS____SLASH__KuVzpSvf__PLUS__uAgZw==&source=srp
6,new delhi,"Senior Storage Administrator, IT",BOSTON SCIENTIFIC,Gurgaon,"storage technologies
   				

   					backup solutions
   				

   					cloud transformation
   				

   					troubleshooting expertise
   				

   					scripting automation
   				

   					data domain
   				

   					information technology
   				

   					brocade
   				

   					veritas netbackup
   				

   					security
   				

   					zoning
   				

   					powershell
   				

   					data protection
   				

   					emc storage
   				

   					san
   				

   					infrastructure
   				

   					aws
   				

   					gateway",Posted today,https://www.timesjobs.com/job-detail/senior-storage-administrator-it-boston-scientific-gurgaon-8-to-11-yrs-jobid-PFBkgRhf1pZzpSvf__PLUS__uAgZw==&source=srp
7,new delhi,Identity and Access Engineer,Saxo Bank,Gurgaon,"identity management solutions
   				

   					sailpoint identitynow expertise
   				

   					powershell scripting proficiency
   				

   					api configuration skills
   				

   					automation experience
   				

   					information technology
   				

   					security",Posted today,https://www.timesjobs.com/job-detail/identity-and-access-engineer-saxo-bank-gurgaon-5-to-10-yrs-jobid-vVQ7fKNhhUhzpSvf__PLUS__uAgZw==&source=srp
8,new delhi,"Web Tech Platform Engineering, Vice President",BLACKROCK,"Atlanta,  Gurgaon","software development
   				

   					data management
   				

   					agile delivery
   				

   					team collaboration
   				

   					problem solving
   				

   					java
   				

   					devops
   				

   					big data
   				

   					python
   				

   					nosql
   				

   					cassandra
   				

   					docker
   				

   					hadoop
   				

   					mongodb
   				

   					microsoft azure",Posted today,https://www.timesjobs.com/job-detail/web-tech-platform-engineering-vice-president-blackrock-atlanta-gurgaon-8-to-10-yrs-jobid-Q8pZI24kdahzpSvf__PLUS__uAgZw==&source=srp
9,new delhi,"Associate, Data Engineering",BLACKROCK,Gurgaon,"data engineering expertise
   				

   					etl solution design
   				

   					sql performance tuning
   				

   					cloud data storage
   				

   					team leadership experience
   				

   					security
   				

   					big data
   				

   					python
   				

   					infrastructure",Posted today,https://www.timesjobs.com/job-detail/associate-data-engineering-blackrock-gurgaon-3-to-5-yrs-jobid-wAcR5XREsOpzpSvf__PLUS__uAgZw==&source=srp
10,new delhi,Director Product Management,Expedia Group,Gurgaon,"product management
   				

   					team leadership
   				

   					data analysis
   				

   					platform development
   				

   					stakeholder management
   				

   					program management
   				

   					director
   				

   					product delivery
   				

   					messaging",Posted today,https://www.timesjobs.com/job-detail/director-product-management-expedia-group-gurgaon-10-to-13-yrs-jobid-fDS4veKUxIdzpSvf__PLUS__uAgZw==&source=srp
